"team1","team2","winner","venue"
"Sunrisers Hyderabad","Royal Challengers Bengaluru","Sunrisers Hyderabad","M Chinnaswamy Stadium, Bengaluru"
"Kolkata Knight Riders","Rajasthan Royals","Rajasthan Royals","Eden Gardens, Kolkata"
"Gujarat Titans","Delhi Capitals","Delhi Capitals","Narendra Modi Stadium, Ahmedabad"
"Mumbai Indians","Punjab Kings","Mumbai Indians","Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur"
"Chennai Super Kings","Lucknow Super Giants","Lucknow Super Giants","Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
"Sunrisers Hyderabad","Delhi Capitals","Sunrisers Hyderabad","Arun Jaitley Stadium, Delhi"
"Kolkata Knight Riders","Royal Challengers Bengaluru","Kolkata Knight Riders","Eden Gardens, Kolkata"
"Punjab Kings","Gujarat Titans","Gujarat Titans","Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur"
"Mumbai Indians","Rajasthan Royals","Rajasthan Royals","Sawai Mansingh Stadium, Jaipur"
"Chennai Super Kings","Lucknow Super Giants","Lucknow Super Giants","MA Chidambaram Stadium, Chennai"
"Delhi Capitals","Gujarat Titans","Delhi Capitals","Arun Jaitley Stadium, Delhi"
"Royal Challengers Bengaluru","Sunrisers Hyderabad","Royal Challengers Bengaluru","Rajiv Gandhi International Stadium, Hyderabad"
"Kolkata Knight Riders","Punjab Kings","Punjab Kings","Eden Gardens, Kolkata"
"Delhi Capitals","Mumbai Indians","Delhi Capitals","Arun Jaitley Stadium, Delhi"
"Lucknow Super Giants","Rajasthan Royals","Rajasthan Royals","Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
"Gujarat Titans","Royal Challengers Bengaluru","Royal Challengers Bengaluru","Narendra Modi Stadium, Ahmedabad"
"Chennai Super Kings","Sunrisers Hyderabad","Chennai Super Kings","MA Chidambaram Stadium, Chennai"
"Delhi Capitals","Kolkata Knight Riders","Kolkata Knight Riders","Eden Gardens, Kolkata"
"Mumbai Indians","Lucknow Super Giants","Lucknow Super Giants","Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
"Chennai Super Kings","Punjab Kings","Punjab Kings","MA Chidambaram Stadium, Chennai"
"Sunrisers Hyderabad","Rajasthan Royals","Sunrisers Hyderabad","Rajiv Gandhi International Stadium, Hyderabad"
"Kolkata Knight Riders","Mumbai Indians","Kolkata Knight Riders","Wankhede Stadium, Mumbai"
"Gujarat Titans","Royal Challengers Bengaluru","Royal Challengers Bengaluru","M Chinnaswamy Stadium, Bengaluru"
"Chennai Super Kings","Punjab Kings","Chennai Super Kings","Himachal Pradesh Cricket Association, Dharmasala"
"Kolkata Knight Riders","Lucknow Super Giants","Kolkata Knight Riders","Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
"Sunrisers Hyderabad","Mumbai Indians","Mumbai Indians","Wankhede Stadium, Mumbai"
"Delhi Capitals","Rajasthan Royals","Delhi Capitals","Arun Jaitley Stadium, Delhi"
"Lucknow Super Giants","Sunrisers Hyderabad","Sunrisers Hyderabad","Rajiv Gandhi International Stadium, Hyderabad"
"Royal Challengers Bengaluru","Punjab Kings","Royal Challengers Bengaluru","Himachal Pradesh Cricket Association, Dharmasala"
"Gujarat Titans","Chennai Super Kings","Gujarat Titans","Narendra Modi Stadium, Ahmedabad"
"Kolkata Knight Riders","Mumbai Indians","Kolkata Knight Riders","Eden Gardens, Kolkata"
"Rajasthan Royals","Chennai Super Kings","Chennai Super Kings","MA Chidambaram Stadium, Chennai"
"Royal Challengers Bengaluru","Delhi Capitals","Royal Challengers Bengaluru","M Chinnaswamy Stadium, Bengaluru"
"Delhi Capitals","Lucknow Super Giants","Delhi Capitals","Arun Jaitley Stadium, Delhi"
"Rajasthan Royals","Punjab Kings","Punjab Kings","Barsapara Cricket Stadium, Guwahati"
"Lucknow Super Giants","Mumbai Indians","Lucknow Super Giants","Wankhede Stadium, Mumbai"
"Royal Challengers Bengaluru","Chennai Super Kings","Royal Challengers Bengaluru","M Chinnaswamy Stadium, Bengaluru"
"Punjab Kings","Sunrisers Hyderabad","Sunrisers Hyderabad","Rajiv Gandhi International Stadium, Hyderabad"
"Sunrisers Hyderabad","Kolkata Knight Riders","Kolkata Knight Riders","Narendra Modi Stadium, Ahmedabad"
"Royal Challengers Bengaluru","Rajasthan Royals","Rajasthan Royals","Narendra Modi Stadium, Ahmedabad"
"Sunrisers Hyderabad","Rajasthan Royals","Sunrisers Hyderabad","MA Chidambaram Stadium, Chennai"
"Sunrisers Hyderabad","Kolkata Knight Riders","Kolkata Knight Riders","MA Chidambaram Stadium, Chennai"
